Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"Restaurant manager, fast food",Finance,Increasing,high,86096.14,Bachelor’s Degree,17,2006,4020,4.8,75.38,Canada,42.8
Counselling psychologist,Entertainment,Decreasing,high,101991.05,Associate Degree,15,4296,507,8.68,64.22,Brazil,61.7
Recycling officer,Manufacturing,Increasing,high,134926.19,High School,10,7303,2982,43.56,91.95,Brazil,45.38
Barista,Finance,Increasing,high,35673.51,High School,3,8332,9581,64.83,70.66,China,23.9
Public librarian,Retail,Increasing,high,51753.02,Master’s Degree,14,4953,9712,36.16,1.7,India,74.86
Technical sales engineer,Education,Increasing,high,87047.96,High School,17,6569,4642,61.99,2.19,USA,54.31
"Engineer, production",Healthcare,Decreasing,high,58685.43,Bachelor’s Degree,18,2960,7059,63.96,19.31,China,55.93
Armed forces logistics/support/administrative officer,Education,Decreasing,high,65703.67,High School,18,9048,2569,84.1,38.1,Canada,44.5
Advertising account planner,Entertainment,Increasing,high,49453.8,PhD,14,8978,5932,72.04,25.63,China,37.18
Broadcast presenter,IT,Decreasing,high,38374.34,Associate Degree,7,5545,4079,65.1,75.29,USA,27.15
Economist,Finance,Decreasing,high,76724.37,PhD,0,5605,8581,36.87,56.17,India,48.26
Medical illustrator,Retail,Increasing,high,93159.29,PhD,3,5422,7271,87.8,70.7,Australia,24.77
Market researcher,Transportation,Increasing,high,114841.54,Associate Degree,14,6173,2679,4.25,33.34,USA,37.3
Medical technical officer,Education,Decreasing,high,142812.71,Bachelor’s Degree,2,5060,3629,47.72,6.21,Brazil,30.32
Community pharmacist,Entertainment,Decreasing,high,72819.86,Bachelor’s Degree,9,9658,4846,99.63,95.84,UK,43.59
Brewing technologist,Entertainment,Decreasing,high,76349.86,Bachelor’s Degree,4,6908,9504,56.12,19.74,Brazil,74.17
"Engineer, broadcasting (operations)",Retail,Increasing,high,99197.09,Master’s Degree,2,1347,5173,6.69,11.82,Canada,56.79
"Engineer, broadcasting (operations)",Entertainment,Decreasing,high,66664.53,High School,12,903,8097,35.31,62.96,China,42.42
Child psychotherapist,Education,Increasing,high,75969.86,Bachelor’s Degree,4,6083,6799,12.27,78.9,Australia,47.16
"Engineer, agricultural",IT,Decreasing,high,123763.42,PhD,2,8901,258,60.08,95.0,Brazil,53.91
Historic buildings inspector/conservation officer,Retail,Decreasing,high,68270.18,Master’s Degree,13,8984,1006,45.63,13.8,USA,68.97
Tourism officer,Entertainment,Increasing,high,51150.22,PhD,12,8241,8525,92.95,14.66,Germany,68.26
Human resources officer,Finance,Increasing,high,123357.67,Associate Degree,1,7282,6978,4.02,82.02,Canada,48.83
Lobbyist,Retail,Increasing,high,121323.11,PhD,0,6362,8100,95.66,93.32,UK,61.48
"Psychotherapist, dance movement",Transportation,Decreasing,high,80687.63,High School,2,2092,3968,15.61,25.2,China,64.31
Forest/woodland manager,Manufacturing,Increasing,high,87165.76,Associate Degree,16,354,4599,87.25,39.19,UK,72.33
"Pilot, airline",Manufacturing,Increasing,high,59957.85,Associate Degree,17,1640,7571,66.1,83.98,Australia,48.29
Amenity horticulturist,Transportation,Increasing,high,97337.55,Associate Degree,14,8285,8562,75.82,14.47,Germany,72.01
"Engineer, petroleum",Education,Decreasing,high,96078.38,Master’s Degree,8,3456,7170,25.98,47.18,Canada,34.61
Dancer,IT,Increasing,high,130310.94,PhD,9,8180,9802,56.29,98.41,India,57.39
Hydrologist,Entertainment,Increasing,high,31364.23,High School,11,2194,1958,38.33,85.22,Brazil,41.88
"Programme researcher, broadcasting/film/video",Entertainment,Decreasing,high,45277.38,High School,4,9320,4780,56.12,65.27,Brazil,74.55
Midwife,Manufacturing,Decreasing,high,79319.75,Associate Degree,13,4074,3467,89.41,13.7,Australia,47.73
Music therapist,Education,Decreasing,high,55744.62,Master’s Degree,19,6882,7396,87.72,8.72,Germany,66.04
"Teacher, secondary school",Education,Decreasing,high,52776.76,PhD,9,8220,2987,5.92,13.98,Brazil,64.96
Medical technical officer,Education,Increasing,high,63721.57,Associate Degree,7,3952,8685,53.85,78.01,USA,63.24
Insurance claims handler,Healthcare,Decreasing,high,118183.91,Master’s Degree,15,1233,4821,60.2,84.23,Brazil,23.78
Restaurant manager,Healthcare,Increasing,high,116075.22,Bachelor’s Degree,19,9750,9116,5.39,14.16,UK,78.59
Facilities manager,Healthcare,Increasing,high,106411.44,PhD,9,1995,5670,13.92,6.11,Canada,66.48
Public affairs consultant,Manufacturing,Decreasing,high,33944.35,PhD,9,9708,3751,19.49,11.91,USA,37.56
Child psychotherapist,Transportation,Increasing,high,43370.34,Bachelor’s Degree,11,7000,5521,91.17,91.97,India,72.94
"Accountant, chartered management",Healthcare,Increasing,high,30858.12,PhD,17,1336,775,99.91,11.01,Australia,50.89
Clinical biochemist,Finance,Decreasing,high,55264.44,Bachelor’s Degree,20,1678,2698,70.76,84.37,Australia,21.69
"Designer, industrial/product",IT,Increasing,high,67336.38,PhD,4,8543,2948,73.99,63.89,China,28.08
Corporate investment banker,Education,Decreasing,high,67749.55,Master’s Degree,3,1708,5468,1.96,9.4,USA,64.51
Commissioning editor,Entertainment,Increasing,high,106007.98,Bachelor’s Degree,17,8167,6520,67.14,94.55,USA,21.44
"Surveyor, insurance",IT,Increasing,high,124494.43,PhD,18,6036,5337,97.41,79.23,Germany,65.1
Environmental manager,Retail,Decreasing,high,66588.82,PhD,10,1796,3498,94.09,35.61,China,51.07
Oceanographer,Education,Decreasing,high,117901.27,Associate Degree,18,9092,5668,19.99,91.62,Canada,44.95
Passenger transport manager,Transportation,Decreasing,high,67596.39,Bachelor’s Degree,12,139,1582,89.75,16.07,USA,24.34
Interior and spatial designer,Transportation,Increasing,high,136935.81,Associate Degree,6,2846,4194,39.59,28.15,USA,79.75
"Doctor, hospital",Finance,Decreasing,high,70332.28,Associate Degree,14,4170,8997,91.94,71.73,USA,29.01
"Embryologist, clinical",Transportation,Increasing,high,144407.84,Master’s Degree,7,944,9096,95.88,33.35,China,74.3
"Radiographer, therapeutic",Retail,Decreasing,high,93211.34,PhD,11,7345,4961,39.94,45.3,Brazil,74.76
Tax inspector,Transportation,Increasing,high,122459.98,Master’s Degree,7,3391,5015,84.27,84.06,Canada,64.41
Heritage manager,Retail,Increasing,high,144435.84,High School,4,3788,7296,7.61,27.35,China,28.15
"Librarian, academic",Healthcare,Increasing,high,72004.06,PhD,18,2023,3410,30.67,52.45,Germany,40.94
Field trials officer,Healthcare,Decreasing,high,118946.01,High School,7,9299,3344,99.38,63.8,India,54.92
"Surveyor, building control",Retail,Decreasing,high,84766.68,Bachelor’s Degree,20,6287,5013,98.5,50.65,UK,29.13
Town planner,Entertainment,Increasing,high,70850.95,Master’s Degree,15,7632,4297,39.63,89.86,USA,57.89
Hydrographic surveyor,Manufacturing,Increasing,high,94943.46,Associate Degree,9,535,9512,90.89,23.38,India,79.52
Materials engineer,IT,Increasing,high,102856.89,Bachelor’s Degree,9,9549,6738,20.75,23.88,Canada,65.82
Research scientist (maths),Education,Decreasing,high,106819.09,High School,13,4879,3008,41.21,5.92,China,65.7
Veterinary surgeon,Entertainment,Decreasing,high,123753.68,Bachelor’s Degree,5,2003,1693,85.0,58.42,Canada,73.38
Fine artist,IT,Increasing,high,112569.52,PhD,12,2972,7542,93.61,3.84,Australia,72.69
Waste management officer,Retail,Increasing,high,72113.81,High School,12,3185,2117,56.32,30.69,India,43.33
Diagnostic radiographer,Education,Decreasing,high,132661.03,Master’s Degree,15,9845,3648,25.23,5.41,UK,28.48
Environmental education officer,Education,Increasing,high,90157.66,Master’s Degree,18,2624,5444,52.96,58.54,USA,65.17
"Solicitor, Scotland",Education,Increasing,high,145865.09,High School,19,6701,5660,3.62,24.57,Canada,54.99
Ranger/warden,Healthcare,Decreasing,high,37522.85,Bachelor’s Degree,10,4863,2538,9.63,29.48,Brazil,77.53
"Engineer, building services",Finance,Increasing,high,111763.58,Bachelor’s Degree,20,2924,7966,45.08,74.32,Germany,78.37
"Lighting technician, broadcasting/film/video",Retail,Increasing,high,33386.18,Associate Degree,8,6687,6820,36.07,60.18,UK,44.17
Bonds trader,Entertainment,Decreasing,high,52842.0,Master’s Degree,11,3831,4829,69.21,73.23,Australia,78.18
Meteorologist,Manufacturing,Increasing,high,117298.97,Bachelor’s Degree,7,8239,3790,93.12,47.92,Australia,67.3
Cartographer,Manufacturing,Increasing,high,35722.55,PhD,12,9602,4882,89.77,61.77,USA,25.49
Community pharmacist,Healthcare,Increasing,high,66143.39,PhD,20,6102,4626,44.25,1.75,UK,57.93
"Surveyor, rural practice",Transportation,Decreasing,high,110542.43,Master’s Degree,7,9032,3387,29.77,94.97,Brazil,58.51
Commercial horticulturist,Transportation,Increasing,high,39596.53,Bachelor’s Degree,8,1935,7089,16.24,96.33,Australia,43.31
"Administrator, charities/voluntary organisations",Healthcare,Increasing,high,100252.92,Bachelor’s Degree,4,4451,5042,51.22,24.03,China,44.94
Historic buildings inspector/conservation officer,Finance,Increasing,high,79836.22,Associate Degree,2,3365,8997,1.73,18.75,India,20.75
"Engineer, control and instrumentation",Transportation,Increasing,high,112135.11,Associate Degree,4,2750,3603,23.21,27.29,USA,48.81
Industrial/product designer,Healthcare,Decreasing,high,113618.95,Master’s Degree,19,9857,5864,41.49,28.48,Canada,32.92
Housing manager/officer,Manufacturing,Increasing,high,118368.94,PhD,20,1216,2732,10.78,60.04,China,43.89
Control and instrumentation engineer,Entertainment,Increasing,high,58383.63,Master’s Degree,16,6947,9958,46.15,21.52,Brazil,72.28
Translator,Finance,Increasing,high,53990.7,High School,7,7887,9460,46.39,72.62,China,69.8
"Teacher, adult education",Finance,Decreasing,high,94198.53,Bachelor’s Degree,3,4636,2557,86.75,51.24,Brazil,51.28
Chief Financial Officer,Manufacturing,Decreasing,high,128757.67,Bachelor’s Degree,18,453,9116,32.94,18.65,UK,26.88
"Therapist, drama",Transportation,Increasing,high,33901.41,Master’s Degree,3,1958,1184,15.34,80.16,China,70.98
"Administrator, Civil Service",IT,Increasing,high,50139.63,PhD,14,585,8750,42.75,79.45,USA,48.19
"Scientist, audiological",Transportation,Increasing,high,89998.47,Associate Degree,7,4241,8543,80.42,86.86,Brazil,31.8
Health service manager,Education,Increasing,high,138175.52,Associate Degree,16,8317,957,31.5,22.51,Australia,24.64
Broadcast presenter,Manufacturing,Decreasing,high,41078.86,High School,4,7226,2668,12.37,72.46,Germany,58.05
Chief Financial Officer,Education,Decreasing,high,47762.82,Associate Degree,17,8435,8201,26.77,97.92,Australia,21.14
"Teacher, music",Entertainment,Decreasing,high,117096.54,Associate Degree,3,4448,9183,45.85,23.24,USA,56.29
Historic buildings inspector/conservation officer,Healthcare,Decreasing,high,74856.59,Bachelor’s Degree,13,5115,6270,41.12,78.0,Canada,52.87
Quantity surveyor,Transportation,Decreasing,high,140049.3,Bachelor’s Degree,6,8012,6150,14.1,88.78,UK,34.24
Public librarian,Transportation,Increasing,high,81100.75,Associate Degree,20,5993,1293,84.67,87.57,Australia,49.08
Biomedical scientist,Manufacturing,Decreasing,high,42568.25,Associate Degree,15,5566,5169,38.1,61.61,Brazil,47.14
"Investment banker, operational",Finance,Increasing,high,122563.1,Bachelor’s Degree,6,5828,4368,98.66,25.01,UK,46.27
Psychiatric nurse,Retail,Decreasing,high,147576.0,High School,2,2568,6559,48.0,82.13,UK,21.03
Surgeon,Transportation,Increasing,high,68389.72,Master’s Degree,12,4631,9827,35.68,47.27,Germany,59.17
"Lighting technician, broadcasting/film/video",Education,Decreasing,high,111043.67,PhD,13,6211,2553,56.49,6.98,USA,71.61
Broadcast engineer,Healthcare,Increasing,high,124651.87,Master’s Degree,9,9163,9766,20.77,71.23,Australia,75.26
Ambulance person,Entertainment,Increasing,high,139471.07,Bachelor’s Degree,5,1105,6625,77.42,5.77,Canada,30.77
Horticultural consultant,Transportation,Decreasing,high,58098.87,High School,17,226,6573,79.47,43.91,Canada,51.31
Government social research officer,Manufacturing,Increasing,high,44854.8,High School,16,7806,7412,41.99,19.61,Brazil,36.84
"Lecturer, higher education",Retail,Decreasing,high,56326.64,Master’s Degree,15,6603,8533,49.64,44.9,Australia,41.42
Geoscientist,Entertainment,Increasing,high,57395.25,Bachelor’s Degree,19,4777,8678,68.65,55.65,UK,24.86
Osteopath,Transportation,Decreasing,high,133607.25,Associate Degree,15,7039,2513,66.05,74.58,India,32.09
Clinical psychologist,Manufacturing,Increasing,high,87397.63,PhD,17,3969,1072,4.32,35.78,Australia,44.8
Industrial buyer,IT,Decreasing,high,78773.31,Master’s Degree,13,1571,3042,52.18,67.05,Canada,51.28
Garment/textile technologist,IT,Increasing,high,92183.78,High School,8,6407,7212,50.76,89.56,Brazil,35.3
"Lecturer, higher education",Entertainment,Increasing,high,80594.6,Associate Degree,15,5237,9252,15.07,43.87,Canada,69.36
Health and safety adviser,Education,Increasing,high,47389.31,High School,19,2696,9449,30.82,92.73,Germany,41.0
Oceanographer,Finance,Increasing,high,103308.46,Associate Degree,16,410,1992,49.15,20.22,China,76.21
Youth worker,Retail,Decreasing,high,36692.97,High School,1,2871,1563,7.14,76.33,Australia,33.53
Chief Strategy Officer,Finance,Decreasing,high,133020.15,Associate Degree,20,1968,7172,80.67,37.66,Canada,47.38
"Engineer, maintenance (IT)",Finance,Increasing,high,119099.64,Bachelor’s Degree,15,2915,4118,47.26,63.49,India,44.63
"Journalist, broadcasting",Entertainment,Increasing,high,130884.69,Associate Degree,2,4016,5733,28.89,90.13,USA,73.84
Advertising account planner,Finance,Decreasing,high,147835.21,Master’s Degree,12,1931,1041,59.51,23.03,Canada,53.61
Conference centre manager,Entertainment,Decreasing,high,119138.64,Associate Degree,18,6335,4718,81.16,79.41,Brazil,22.04
"Doctor, hospital",Manufacturing,Decreasing,high,89997.91,Bachelor’s Degree,11,3179,7221,59.74,23.32,Canada,69.31
Pathologist,Transportation,Increasing,high,79402.18,High School,16,2245,6036,59.66,88.01,Germany,67.85
Museum/gallery conservator,Entertainment,Increasing,high,64025.52,High School,15,923,1527,18.37,55.08,China,33.24
"Engineer, technical sales",Finance,Increasing,high,133795.59,Bachelor’s Degree,14,7694,6027,25.04,37.78,UK,36.78
Network engineer,Healthcare,Increasing,high,51843.46,High School,18,8295,376,31.52,91.93,India,24.72
Professor Emeritus,Entertainment,Decreasing,high,36678.96,Associate Degree,0,1156,270,12.55,13.57,Germany,36.52
"Therapist, occupational",Retail,Increasing,high,44778.06,Associate Degree,19,914,340,98.57,86.57,Australia,30.85
Multimedia specialist,Healthcare,Decreasing,high,94934.33,PhD,15,7010,1502,62.01,78.37,China,65.39
Quarry manager,Finance,Increasing,high,60229.33,Master’s Degree,19,6127,1084,15.3,83.32,China,43.46
Financial manager,Transportation,Decreasing,high,123539.69,High School,16,4239,6675,43.39,94.29,UK,45.04
"Restaurant manager, fast food",Retail,Decreasing,high,78877.08,Master’s Degree,14,3812,783,77.63,27.56,UK,72.87
Dance movement psychotherapist,Transportation,Increasing,high,68232.28,Associate Degree,5,4898,5918,53.17,68.21,Germany,76.37
Waste management officer,Education,Decreasing,high,114785.35,High School,9,275,9000,38.99,18.27,Germany,21.28
"Sales professional, IT",Retail,Decreasing,high,75452.0,High School,7,103,8203,87.18,41.45,China,26.17
"Engineer, energy",Finance,Increasing,high,145665.72,PhD,4,6124,6302,76.41,99.14,UK,48.6
Pensions consultant,Education,Decreasing,high,113414.17,Bachelor’s Degree,7,8662,4299,41.66,75.66,China,41.98
Advertising account executive,Healthcare,Increasing,high,34301.31,Master’s Degree,1,836,5204,75.2,31.12,India,62.61
Magazine journalist,Entertainment,Decreasing,high,31547.72,Bachelor’s Degree,6,9774,2455,37.72,18.52,Brazil,52.27
Tourism officer,Manufacturing,Increasing,high,116034.27,High School,9,6681,3584,36.59,96.16,USA,79.52
Diplomatic Services operational officer,IT,Increasing,high,106477.11,Associate Degree,9,8938,5230,5.89,4.73,India,27.89
Ship broker,Transportation,Increasing,high,100858.39,Bachelor’s Degree,0,8175,9560,73.71,83.51,India,46.46
Hospital pharmacist,Entertainment,Decreasing,high,122688.72,Master’s Degree,20,5998,8031,92.96,81.36,India,56.51
Printmaker,Manufacturing,Increasing,high,106633.49,High School,16,5682,7972,61.0,47.94,Germany,69.12
Textile designer,Finance,Decreasing,high,36372.75,Bachelor’s Degree,13,8831,3062,9.41,49.42,India,62.57
Animator,Retail,Decreasing,high,70952.45,Bachelor’s Degree,6,9750,8030,11.57,69.34,India,37.61
Amenity horticulturist,Finance,Increasing,high,92296.94,Bachelor’s Degree,4,4629,4667,0.46,95.7,Canada,37.51
Insurance underwriter,IT,Increasing,high,101896.01,High School,1,7308,3353,75.21,55.12,Germany,77.49
"Psychologist, occupational",Manufacturing,Decreasing,high,61735.26,Master’s Degree,20,5973,4559,98.68,76.69,China,67.9
"Physicist, medical",Finance,Decreasing,high,69119.6,Associate Degree,9,2713,1039,63.89,23.5,UK,44.82
IT technical support officer,Retail,Decreasing,high,113258.15,High School,12,1194,5246,85.89,16.15,Canada,70.83
Rural practice surveyor,Healthcare,Increasing,high,97669.11,Bachelor’s Degree,5,2234,5803,54.7,44.05,UK,38.19
Manufacturing engineer,Finance,Increasing,high,145593.12,Master’s Degree,8,1725,6711,9.22,67.67,Germany,65.62
"Horticulturist, commercial",IT,Increasing,high,52639.83,Master’s Degree,16,3396,4617,36.12,5.46,USA,32.72
Clinical research associate,Retail,Decreasing,high,97301.85,High School,1,9249,4929,17.42,98.45,UK,30.17
Human resources officer,Finance,Decreasing,high,121015.81,Master’s Degree,10,5802,8478,10.35,45.72,China,65.06
"Education officer, community",Retail,Increasing,high,83238.74,Bachelor’s Degree,18,7541,6971,21.11,40.53,UK,70.4
Engineering geologist,Manufacturing,Decreasing,high,75939.32,Master’s Degree,19,9111,1062,94.78,15.91,USA,20.0
Minerals surveyor,Healthcare,Increasing,high,33542.38,Associate Degree,16,2602,7507,61.4,32.62,Germany,42.68
Midwife,IT,Increasing,high,81236.04,Master’s Degree,18,8753,9301,71.49,96.1,USA,72.07
Arboriculturist,Finance,Decreasing,high,79761.96,PhD,5,3572,2903,98.19,23.22,UK,45.67
Banker,Education,Decreasing,high,58378.76,Associate Degree,15,1381,5952,89.09,5.25,Brazil,44.57
"Surveyor, insurance",Healthcare,Increasing,high,64475.37,Master’s Degree,11,1126,9006,75.76,58.7,China,60.79
Clinical research associate,Finance,Increasing,high,73964.57,Master’s Degree,4,4375,6723,40.64,37.68,China,42.07
Data processing manager,Healthcare,Decreasing,high,36325.61,Master’s Degree,19,5575,6231,92.71,54.86,UK,37.94
"Scientist, research (medical)",Entertainment,Decreasing,high,108668.19,PhD,4,9009,8855,16.7,2.7,Canada,25.3
"Programmer, applications",Finance,Decreasing,high,87097.41,PhD,1,3673,9967,30.91,5.97,USA,45.77
Radio broadcast assistant,Retail,Decreasing,high,105358.95,Bachelor’s Degree,1,4234,1749,7.97,14.84,Brazil,46.62
"Horticulturist, amenity",Entertainment,Decreasing,high,130650.5,Bachelor’s Degree,18,2410,3018,16.46,84.4,USA,77.03
Pharmacologist,Finance,Increasing,high,139578.85,High School,12,7812,2792,40.46,71.46,China,33.28
Sports coach,IT,Decreasing,high,101012.09,High School,15,807,6154,0.78,7.22,India,66.1
"Sales professional, IT",Retail,Decreasing,high,103580.72,Master’s Degree,4,4604,4361,42.51,53.3,UK,58.19
Retail manager,Education,Decreasing,high,53287.77,High School,4,233,2764,99.71,37.02,USA,67.94
Risk manager,Retail,Increasing,high,97825.2,PhD,18,1859,9438,7.65,10.8,Canada,43.18
Physiotherapist,Healthcare,Decreasing,high,91820.93,Bachelor’s Degree,20,9757,4398,31.34,86.97,Germany,40.94
"Programmer, systems",Healthcare,Decreasing,high,134125.0,PhD,10,7422,2484,57.64,77.7,Canada,67.74
Biomedical scientist,Manufacturing,Increasing,high,136027.22,High School,19,4720,5782,7.97,70.65,China,31.16
Technical author,Education,Increasing,high,79254.23,Bachelor’s Degree,2,9712,5091,23.23,82.4,Australia,73.23
Civil Service fast streamer,Entertainment,Decreasing,high,48509.16,High School,5,5260,1336,40.8,9.89,China,25.46
"Engineer, civil (contracting)",Finance,Increasing,high,112219.17,Bachelor’s Degree,5,4521,2473,40.18,35.77,Canada,60.6
"Engineer, drilling",Finance,Decreasing,high,106740.63,Master’s Degree,11,228,4497,56.48,75.79,UK,49.78
Fashion designer,Entertainment,Increasing,high,38362.65,Associate Degree,9,4164,4762,90.04,22.8,Brazil,60.99
Clinical cytogeneticist,Finance,Increasing,high,82555.75,PhD,10,6647,6993,80.67,21.76,Germany,71.05
"Geologist, wellsite",Healthcare,Increasing,high,105238.71,Master’s Degree,1,8485,6663,70.31,94.21,India,57.64
Marketing executive,Finance,Decreasing,high,38594.94,Bachelor’s Degree,0,1761,7619,42.09,42.75,Canada,25.0
Research scientist (medical),Finance,Increasing,high,59538.52,Associate Degree,4,816,3051,56.2,19.31,USA,48.7
"Surveyor, planning and development",Healthcare,Decreasing,high,56069.93,Bachelor’s Degree,6,6350,7486,15.92,95.84,India,73.32
"Horticulturist, commercial",Finance,Increasing,high,83110.87,High School,14,101,3277,42.22,97.82,Australia,66.57
Sports coach,Healthcare,Decreasing,high,119111.83,PhD,15,5051,9808,0.16,11.77,Canada,47.51
Comptroller,Manufacturing,Increasing,high,148359.04,High School,8,8414,468,4.63,93.21,China,22.58
"Surveyor, building control",Transportation,Decreasing,high,114499.29,Associate Degree,9,6003,491,32.17,11.89,USA,31.22
Immigration officer,Retail,Increasing,high,144717.88,PhD,17,5039,3766,65.97,79.26,Canada,26.84
Advertising copywriter,IT,Decreasing,high,54891.19,Master’s Degree,17,7975,8754,50.94,65.36,Germany,42.15
Microbiologist,Entertainment,Increasing,high,60770.34,Associate Degree,20,8457,7686,75.78,40.66,USA,38.57
Retail merchandiser,Entertainment,Increasing,high,74387.21,Bachelor’s Degree,12,6569,6420,1.42,77.21,India,47.51
Market researcher,Education,Decreasing,high,34231.26,Master’s Degree,6,2874,5267,60.83,37.0,Australia,71.83
Biomedical engineer,Healthcare,Decreasing,high,129025.76,High School,19,395,5268,31.47,58.52,Canada,67.78
Physiological scientist,IT,Decreasing,high,78561.07,Associate Degree,1,8828,4426,21.85,24.47,China,46.19
Warehouse manager,Finance,Increasing,high,111940.09,High School,19,8299,9462,10.28,50.64,USA,52.69
Fish farm manager,Healthcare,Increasing,high,95086.7,Bachelor’s Degree,19,1033,6461,42.87,28.84,USA,59.51
"Buyer, retail",Finance,Decreasing,high,115958.96,Associate Degree,19,9292,1388,25.89,37.03,UK,30.39
Statistician,Finance,Decreasing,high,59790.09,Bachelor’s Degree,4,7316,567,99.18,58.35,Brazil,43.14
Insurance underwriter,Finance,Decreasing,high,30100.66,Associate Degree,11,4063,469,55.77,53.29,UK,74.57
"Sales professional, IT",Entertainment,Increasing,high,67917.76,Master’s Degree,13,9812,4471,95.93,31.01,Brazil,31.48
Food technologist,Healthcare,Increasing,high,82169.53,High School,11,2844,8841,57.9,75.26,USA,54.06
Sports administrator,Transportation,Increasing,high,65203.63,Bachelor’s Degree,16,5800,1483,92.87,1.34,UK,40.75
"Lecturer, higher education",Manufacturing,Decreasing,high,39764.55,High School,6,9427,8689,12.52,20.95,Australia,40.01
Microbiologist,Entertainment,Decreasing,high,125923.66,Associate Degree,10,7755,2761,93.08,0.5,Australia,35.42
General practice doctor,Transportation,Decreasing,high,91727.52,Bachelor’s Degree,11,4402,6690,88.24,74.47,India,60.99
English as a second language teacher,Healthcare,Increasing,high,92676.1,Master’s Degree,15,2960,9799,31.12,69.12,Australia,48.78
Economist,Manufacturing,Decreasing,high,122889.47,High School,5,4333,6374,73.76,90.55,Germany,46.93
Drilling engineer,Entertainment,Increasing,high,137985.42,Bachelor’s Degree,12,3195,251,17.59,48.63,Australia,47.88
"Scientist, forensic",Manufacturing,Decreasing,high,102672.82,PhD,10,4319,1694,87.2,55.59,Germany,51.79
Advertising art director,Finance,Increasing,high,143838.31,Master’s Degree,16,2506,2387,4.59,73.83,Canada,53.32
Theatre stage manager,Finance,Decreasing,high,35496.94,Bachelor’s Degree,19,3880,1453,67.86,74.72,China,77.45
"Investment banker, operational",Retail,Decreasing,high,139039.61,PhD,11,3035,376,25.13,58.26,USA,60.31
"Conservator, museum/gallery",Education,Decreasing,high,56393.02,PhD,4,2337,9250,7.27,77.04,Brazil,65.82
Oceanographer,IT,Increasing,high,93517.74,PhD,12,519,8931,94.23,20.02,Canada,33.35
"Therapist, music",Entertainment,Increasing,high,124132.05,Bachelor’s Degree,1,1800,578,74.31,32.91,Canada,68.05
"Administrator, arts",Retail,Increasing,high,82459.22,Bachelor’s Degree,17,3828,7920,9.17,51.18,Canada,64.68
"Designer, textile",Manufacturing,Decreasing,high,77976.95,Master’s Degree,11,6291,8482,3.99,94.67,UK,69.17
"Optician, dispensing",Entertainment,Increasing,high,52268.65,Master’s Degree,18,1654,1254,98.01,26.6,Canada,51.67
Armed forces training and education officer,Healthcare,Decreasing,high,75523.98,Bachelor’s Degree,6,9023,8489,43.9,71.74,Australia,64.61
Radio producer,Education,Decreasing,high,111716.18,High School,12,5898,2334,99.74,48.97,Canada,66.26
Health service manager,IT,Decreasing,high,82649.24,PhD,7,3917,3790,28.78,87.66,Canada,71.13
Public relations account executive,Healthcare,Increasing,high,133678.46,PhD,20,7812,9665,53.11,38.74,Australia,31.98
Regulatory affairs officer,IT,Decreasing,high,56975.65,Associate Degree,17,9821,8034,38.52,14.75,India,78.34
"Programme researcher, broadcasting/film/video",Manufacturing,Decreasing,high,41759.48,Associate Degree,1,6835,5189,8.91,62.68,India,66.82
"Sound technician, broadcasting/film/video",Finance,Increasing,high,73923.12,High School,15,7443,4141,96.0,63.05,Australia,57.85
Psychotherapist,Entertainment,Increasing,high,121338.27,Bachelor’s Degree,1,2608,5699,23.5,68.86,Canada,39.05
Commissioning editor,Education,Increasing,high,149813.23,Master’s Degree,3,2728,6503,13.06,59.86,USA,61.42
Fast food restaurant manager,Retail,Decreasing,high,40267.28,PhD,16,1194,7934,4.62,93.42,Canada,41.84
Marine scientist,IT,Decreasing,high,146554.81,High School,7,8687,1232,86.88,88.87,Brazil,30.21
Chartered legal executive (England and Wales),Healthcare,Increasing,high,73186.65,Master’s Degree,0,7175,8419,72.29,65.51,USA,73.48
Audiological scientist,Finance,Increasing,high,61286.37,High School,17,4871,2815,27.1,85.43,Brazil,23.48
"Runner, broadcasting/film/video",Entertainment,Decreasing,high,62024.46,Bachelor’s Degree,11,6842,7343,36.35,57.51,Canada,67.28
"Engineer, broadcasting (operations)",Transportation,Decreasing,high,148959.0,High School,15,5376,6693,79.32,54.29,India,32.71
Adult nurse,Finance,Increasing,high,57878.47,Master’s Degree,0,5164,3958,74.49,28.96,China,72.96
Broadcast engineer,Manufacturing,Decreasing,high,68534.31,Associate Degree,14,2116,3605,19.19,71.98,UK,67.81
Osteopath,Entertainment,Increasing,high,73228.67,Associate Degree,13,5083,2643,52.73,93.14,Germany,54.81
Early years teacher,Retail,Increasing,high,42872.82,Master’s Degree,4,5506,7656,0.75,4.51,Canada,75.04
Mechanical engineer,Finance,Decreasing,high,72596.27,Associate Degree,18,1338,505,61.43,80.2,Germany,44.99
Database administrator,Transportation,Decreasing,high,65219.39,Master’s Degree,11,8643,8388,42.77,9.52,Brazil,37.46
"Psychologist, clinical",Retail,Decreasing,high,98838.73,Associate Degree,18,5354,6952,8.62,18.34,Australia,56.89
Physiotherapist,Education,Increasing,high,54855.02,Master’s Degree,7,8807,5200,26.35,20.91,USA,23.06
Legal executive,IT,Increasing,high,41481.18,Bachelor’s Degree,9,9694,5179,79.08,42.46,India,72.48
